N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
3,0.5,0.5,2,50,0.05,0.5,75.7197,-1.0,8.881784197001252e-16,-1.5999999999999996,0.5999999999999996
3,0.5,0.5,2,100,0.05,0.5,151.6247,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.5,0.5,3,50,0.05,0.5,60.3076,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
3,0.5,0.5,3,100,0.05,0.5,131.4107,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.5,0.5,4,50,0.05,0.5,36.5006,0.9,0.09999999999999742,-1.1999999999999993,0.1999999999999993
3,0.5,0.5,4,100,0.05,0.5,82.3267,0.9,0.09999999999999742,-1.0999999999999992,0.0999999999999992
3,0.5,0.25,2,50,0.05,0.5,96.8977,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.5,0.25,2,100,0.05,0.5,169.4297,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.5,0.25,3,50,0.05,0.5,63.1737,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.5,0.25,3,100,0.05,0.5,128.1047,-1.0,8.881784197001252e-16,0.5000000000000022,0.4999999999999978
3,0.5,0.25,4,50,0.05,0.5,41.0696,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.5,0.25,4,100,0.05,0.5,105.4736,0.9,0.09999999999999742,0.8000000000000025,0.1999999999999975
3,0.5,0.1,2,50,0.05,0.5,69.1327,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
3,0.5,0.1,2,100,0.05,0.5,156.8407,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
3,0.5,0.1,3,50,0.05,0.5,56.2806,-1.0,8.881784197001252e-16,-1.4999999999999996,0.49999999999999956
3,0.5,0.1,3,100,0.05,0.5,133.2537,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
3,0.5,0.1,4,50,0.05,0.5,37.5406,-1.2,0.1999999999999993,-0.899999999999999,0.10000000000000098
3,0.5,0.1,4,100,0.05,0.5,105.7997,-1.1,0.0999999999999992,0.40000000000000213,0.5999999999999979
3,0.5,0.05,2,50,0.05,0.5,55.4331,-1.1,0.0999999999999992,-0.9999999999999991,8.881784197001252e-16
3,0.5,0.05,2,100,0.05,0.5,129.9843,-1.0,8.881784197001252e-16,-1.0999999999999992,0.0999999999999992
3,0.5,0.05,3,50,0.05,0.5,62.3857,-1.1,0.0999999999999992,-1.2999999999999994,0.2999999999999994
3,0.5,0.05,3,100,0.05,0.5,124.7636,-1.2,0.1999999999999993,-0.9999999999999991,8.881784197001252e-16
3,0.5,0.05,4,50,0.05,0.5,49.5818,-1.2,0.1999999999999993,-1.0999999999999992,0.0999999999999992
3,0.5,0.05,4,100,0.05,0.5,85.9756,-1.1,0.0999999999999992,-1.2999999999999994,0.2999999999999994
3,0.5,0.01,2,50,0.05,0.5,49.8807,-0.6,0.40000000000000124,0.40000000000000213,0.5999999999999979
3,0.5,0.01,2,100,0.05,0.5,116.8616,-1.0,8.881784197001252e-16,-0.3999999999999986,0.6000000000000014
3,0.5,0.01,3,50,0.05,0.5,51.3512,-1.3,0.2999999999999994,-0.9999999999999991,8.881784197001252e-16
3,0.5,0.01,3,100,0.05,0.5,109.9741,-1.2,0.1999999999999993,-0.899999999999999,0.10000000000000098
3,0.5,0.01,4,50,0.05,0.5,40.1576,-1.2,0.1999999999999993,0.30000000000000204,0.699999999999998
3,0.5,0.01,4,100,0.05,0.5,88.1721,-1.0,8.881784197001252e-16,-0.5999999999999988,0.40000000000000124
3,0.3,0.5,2,50,0.05,0.5,51.4873,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
3,0.3,0.5,2,100,0.05,0.5,98.9127,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.5,3,50,0.05,0.5,73.6507,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.3,0.5,3,100,0.05,0.5,117.7777,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.3,0.5,4,50,0.05,0.5,91.1426,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.5,4,100,0.05,0.5,181.0087,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.3,0.25,2,50,0.05,0.5,50.4667,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
3,0.3,0.25,2,100,0.05,0.5,112.5816,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.3,0.25,3,50,0.05,0.5,71.7617,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.3,0.25,3,100,0.05,0.5,145.8857,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.25,4,50,0.05,0.5,88.9487,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.25,4,100,0.05,0.5,202.6626,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.1,2,50,0.05,0.5,51.0386,-1.2,0.1999999999999993,0.8000000000000025,0.1999999999999975
3,0.3,0.1,2,100,0.05,0.5,93.0306,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.3,0.1,3,50,0.05,0.5,68.8327,-0.9,0.10000000000000098,-1.0999999999999992,0.0999999999999992
3,0.3,0.1,3,100,0.05,0.5,117.2984,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.3,0.1,4,50,0.05,0.5,73.0508,-1.0,8.881784197001252e-16,0.6000000000000023,0.3999999999999977
3,0.3,0.1,4,100,0.05,0.5,140.3167,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.3,0.05,2,50,0.05,0.5,54.5436,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
3,0.3,0.05,2,100,0.05,0.5,88.0556,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
3,0.3,0.05,3,50,0.05,0.5,57.8024,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
3,0.3,0.05,3,100,0.05,0.5,118.4789,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
3,0.3,0.05,4,50,0.05,0.5,72.3476,-1.0,8.881784197001252e-16,0.6000000000000023,0.3999999999999977
3,0.3,0.05,4,100,0.05,0.5,131.5282,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
3,0.3,0.01,2,50,0.05,0.5,47.3832,-1.4,0.39999999999999947,0.8000000000000025,0.1999999999999975
3,0.3,0.01,2,100,0.05,0.5,89.2557,-0.9,0.10000000000000098,-1.1999999999999993,0.1999999999999993
3,0.3,0.01,3,50,0.05,0.5,50.3096,0.2,0.799999999999998,-1.2999999999999994,0.2999999999999994
3,0.3,0.01,3,100,0.05,0.5,96.0447,-0.5,0.5000000000000013,1.7763568394002505e-15,0.9999999999999982
3,0.3,0.01,4,50,0.05,0.5,52.6887,-1.1,0.0999999999999992,0.30000000000000204,0.699999999999998
3,0.3,0.01,4,100,0.05,0.5,118.0597,-0.9,0.10000000000000098,-0.3999999999999986,0.6000000000000014
