N_iter,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
1000,150,0.05,0.01,0.0265,2.1,0.9775
1000,150,0.05,0.0001,0.0267,1.5,0.37749999999999995
1000,150,0.01,0.1,0.0444,1.7,0.5774999999999999
1000,150,0.01,0.05,0.0309,1.7,0.5774999999999999
1000,150,0.01,0.01,0.0271,2.0,0.8775
1000,150,0.01,0.0001,0.0273,1.7,0.5774999999999999
1000,150,0.0001,0.1,5.7337,617416.9081,617415.7856
1000,150,0.0001,0.05,4.4345,2.9,1.7774999999999999
1000,150,0.0001,0.01,2.3899,2.8,1.6774999999999998
1000,150,0.0001,0.0001,0.0314,1.6,0.47750000000000004
1000,200,0.1,0.1,0.0436,2.7,1.5775000000000001
1000,200,0.1,0.05,0.0395,2.4,1.2774999999999999
1000,200,0.1,0.01,0.0321,2.6,1.4775
1000,200,0.1,0.0001,0.0344,2.7,1.5775000000000001
1000,200,0.05,0.1,0.036,2.3,1.1774999999999998
1000,200,0.05,0.05,0.0371,2.4,1.2774999999999999
1000,200,0.05,0.01,0.0396,1.9,0.7774999999999999
1000,200,0.05,0.0001,0.0376,1.3,0.1775
1000,200,0.01,0.1,0.0722,2.5,1.3775
1000,200,0.01,0.05,0.0503,1.9,0.7774999999999999
1000,200,0.01,0.01,0.0563,1.8,0.6775
1000,200,0.01,0.0001,0.0706,1.7,0.5774999999999999
1000,200,0.0001,0.1,8.8558,-2.1983,3.3208
1000,200,0.0001,0.05,13.6257,2.6,1.4775
1000,200,0.0001,0.01,4.031,2.8,1.6774999999999998
1000,200,0.0001,0.0001,0.061,0.9,0.22250000000000003
2000,50,0.1,0.1,0.0103,2.1,0.9775
2000,50,0.1,0.05,0.0126,2.5,1.3775
2000,50,0.1,0.01,0.0117,2.6,1.4775
2000,50,0.1,0.0001,0.0098,1.3,0.1775
2000,50,0.05,0.1,0.013,1.5,0.37749999999999995
2000,50,0.05,0.05,0.0127,2.2,1.0775000000000001
2000,50,0.05,0.01,0.0103,1.5,0.37749999999999995
2000,50,0.05,0.0001,0.013,2.6,1.4775
2000,50,0.01,0.1,0.0167,2.2,1.0775000000000001
2000,50,0.01,0.05,0.0166,1.3,0.1775
2000,50,0.01,0.01,0.0151,2.4,1.2774999999999999
2000,50,0.01,0.0001,0.0113,2.2,1.0775000000000001
2000,50,0.0001,0.1,2.1565,2.1,0.9775
2000,50,0.0001,0.05,2.5344,1.7,0.5774999999999999
2000,50,0.0001,0.01,0.9163,1.7,0.5774999999999999
2000,50,0.0001,0.0001,0.0108,2.3,1.1774999999999998
2000,100,0.1,0.1,0.02,2.0,0.8775
2000,100,0.1,0.05,0.0191,1.6,0.47750000000000004
2000,100,0.1,0.01,0.0192,2.8,1.6774999999999998
2000,100,0.1,0.0001,0.0185,0.9,0.22250000000000003
2000,100,0.05,0.1,0.035,2.2,1.0775000000000001
2000,100,0.05,0.05,0.0343,2.9,1.7774999999999999
2000,100,0.05,0.01,0.0258,2.8,1.6774999999999998
2000,100,0.05,0.0001,0.0281,2.8,1.6774999999999998
2000,100,0.01,0.1,0.0411,2.3,1.1774999999999998
2000,100,0.01,0.05,0.0305,2.2,1.0775000000000001
2000,100,0.01,0.01,0.0278,2.8,1.6774999999999998
2000,100,0.01,0.0001,0.0265,1.5,0.37749999999999995
2000,100,0.0001,0.1,2.231,70392.3847,70391.2622
2000,100,0.0001,0.05,3.7931,-14184.9631,14186.0856
2000,100,0.0001,0.01,1.0605,1.9,0.7774999999999999
2000,100,0.0001,0.0001,0.0183,1.7,0.5774999999999999
2000,150,0.1,0.1,0.0242,1.2,0.0774999999999999
2000,150,0.1,0.05,0.0277,2.8,1.6774999999999998
2000,150,0.1,0.01,0.0262,2.3,1.1774999999999998
2000,150,0.1,0.0001,0.0266,1.8,0.6775
2000,150,0.05,0.1,0.0241,2.2,1.0775000000000001
2000,150,0.05,0.05,0.0292,1.6,0.47750000000000004
2000,150,0.05,0.01,0.0246,2.7,1.5775000000000001
2000,150,0.05,0.0001,0.0298,2.3,1.1774999999999998
2000,150,0.01,0.1,0.033,1.2,0.0774999999999999
2000,150,0.01,0.05,0.0283,1.8,0.6775
2000,150,0.01,0.01,0.0243,1.0,0.12250000000000005
2000,150,0.01,0.0001,0.0257,1.3,0.1775
2000,150,0.0001,0.1,3.713,70392.3847,70391.2622
2000,150,0.0001,0.05,5.2004,647.0177,645.8952
2000,150,0.0001,0.01,1.4803,2.3,1.1774999999999998
2000,150,0.0001,0.0001,0.0268,3.0,1.8775
2000,200,0.1,0.1,0.0347,2.2,1.0775000000000001
2000,200,0.1,0.05,0.0331,2.2,1.0775000000000001
2000,200,0.1,0.01,0.0334,2.5,1.3775
2000,200,0.1,0.0001,0.0349,1.0,0.12250000000000005
