N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.1,0.5,3,50,0.05,0.5,13.6947,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.1,0.5,3,100,0.05,0.5,27.4827,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.1,0.5,4,50,0.05,0.5,17.4047,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.1,0.5,4,100,0.05,0.5,33.4907,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.1,0.25,2,50,0.05,0.5,15.3458,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.1,0.25,2,100,0.05,0.5,26.7276,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.1,0.25,3,50,0.05,0.5,14.0277,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.1,0.25,3,100,0.05,0.5,27.3926,1.1,2.6645352591003757e-15,-1.0999999999999992,0.03999999999999915
2,0.1,0.25,4,50,0.05,0.5,12.5997,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.1,0.25,4,100,0.05,0.5,27.2047,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.1,0.1,2,50,0.05,0.5,13.7187,-1.1,0.03999999999999915,-1.1999999999999993,0.13999999999999924
2,0.1,0.1,2,100,0.05,0.5,28.6618,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.1,0.1,3,50,0.05,0.5,12.6637,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.1,0.1,3,100,0.05,0.5,26.9017,0.9,0.1999999999999975,-1.0999999999999992,0.03999999999999915
2,0.1,0.1,4,50,0.05,0.5,13.7677,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.1,0.1,4,100,0.05,0.5,30.5797,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.1,0.05,2,50,0.05,0.5,10.9527,-1.2,0.13999999999999924,0.6000000000000023,0.4999999999999978
2,0.1,0.05,2,100,0.05,0.5,25.4957,1.0,0.09999999999999742,-1.2999999999999994,0.23999999999999932
2,0.1,0.05,3,50,0.05,0.5,12.1397,-1.2,0.13999999999999924,0.7000000000000024,0.3999999999999977
2,0.1,0.05,3,100,0.05,0.5,23.1016,-1.1,0.03999999999999915,-1.1999999999999993,0.13999999999999924
2,0.1,0.05,4,50,0.05,0.5,13.6147,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.1,0.05,4,100,0.05,0.5,26.2957,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.1,0.01,2,50,0.05,0.5,11.1117,-1.2,0.13999999999999924,0.30000000000000204,0.799999999999998
2,0.1,0.01,2,100,0.05,0.5,26.2857,0.9,0.1999999999999975,0.5000000000000022,0.5999999999999979
2,0.1,0.01,3,50,0.05,0.5,11.5987,-1.2,0.13999999999999924,0.8000000000000025,0.2999999999999976
2,0.1,0.01,3,100,0.05,0.5,23.2307,0.8,0.2999999999999976,-1.2999999999999994,0.23999999999999932
2,0.1,0.01,4,50,0.05,0.5,13.2826,-1.2,0.13999999999999924,-1.1999999999999993,0.13999999999999924
2,0.1,0.01,4,100,0.05,0.5,22.5297,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
3,0.5,0.5,2,50,0.05,0.5,49.4377,-1.2,0.13999999999999924,1.400000000000003,0.30000000000000293
3,0.5,0.5,2,100,0.05,0.5,88.7697,-1.2,0.13999999999999924,1.0000000000000027,0.09999999999999742
3,0.5,0.5,3,50,0.05,0.5,37.2777,1.1,2.6645352591003757e-15,1.1000000000000028,2.6645352591003757e-15
3,0.5,0.5,3,100,0.05,0.5,69.5367,1.1,2.6645352591003757e-15,-1.1999999999999993,0.13999999999999924
3,0.5,0.5,4,50,0.05,0.5,44.1334,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
3,0.5,0.5,4,100,0.05,0.5,79.3131,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
3,0.5,0.25,2,50,0.05,0.5,74.6324,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
3,0.5,0.25,2,100,0.05,0.5,157.1518,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
3,0.5,0.25,3,50,0.05,0.5,75.5568,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
3,0.5,0.25,3,100,0.05,0.5,102.5433,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
3,0.5,0.25,4,50,0.05,0.5,41.4787,-1.2,0.13999999999999924,0.9000000000000026,0.1999999999999975
