N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
3,0.5,0.1,2,100,0.05,0.5,64.6927,2.3,1.1774999999999998
3,0.5,0.1,3,50,0.05,0.5,32.9307,2.7,1.5774999999999992
3,0.5,0.1,3,100,0.05,0.5,70.8547,2.1,0.9774999999999996
3,0.5,0.1,4,50,0.05,0.5,33.0707,2.7,1.5774999999999992
3,0.5,0.1,4,100,0.05,0.5,76.7527,2.2,1.0774999999999997
3,0.5,0.05,2,50,0.05,0.5,34.1657,1.3,0.17749999999999977
3,0.5,0.05,2,100,0.05,0.5,73.4217,2.6,1.4774999999999996
3,0.5,0.05,3,50,0.05,0.5,38.8577,2.0,0.8774999999999997
3,0.5,0.05,3,100,0.05,0.5,74.1017,2.1,0.9774999999999996
3,0.5,0.05,4,50,0.05,0.5,26.6707,2.6,1.4774999999999996
3,0.5,0.05,4,100,0.05,0.5,69.5367,2.5,1.3775
3,0.5,0.01,2,50,0.05,0.5,36.1046,2.8,1.6774999999999998
3,0.5,0.01,2,100,0.05,0.5,66.111,1.7,0.5774999999999997
3,0.5,0.01,3,50,0.05,0.5,35.4913,1.6,0.4774999999999998
3,0.5,0.01,3,100,0.05,0.5,69.9987,1.5,0.37749999999999995
3,0.5,0.01,4,50,0.05,0.5,36.9007,0.9,0.22250000000000003
3,0.5,0.01,4,100,0.05,0.5,72.9287,1.7,0.5774999999999997
3,0.3,0.5,2,50,0.05,0.5,39.1877,2.8,1.6774999999999998
3,0.3,0.5,2,100,0.05,0.5,62.7267,1.6,0.4774999999999998
3,0.3,0.5,3,50,0.05,0.5,35.2544,1.2,0.0774999999999999
3,0.3,0.5,3,100,0.05,0.5,86.719,1.2,0.0774999999999999
3,0.3,0.5,4,50,0.05,0.5,37.6486,2.2,1.0774999999999997
3,0.3,0.5,4,100,0.05,0.5,65.1897,2.8,1.6774999999999998
3,0.3,0.25,2,50,0.05,0.5,27.6316,1.3,0.17749999999999977
3,0.3,0.25,2,100,0.05,0.5,60.6907,2.2,1.0774999999999997
3,0.3,0.25,3,50,0.05,0.5,35.6987,2.0,0.8774999999999997
3,0.3,0.25,3,100,0.05,0.5,70.8387,1.1,0.022499999999999964
3,0.3,0.25,4,50,0.05,0.5,32.0437,0.8,0.3225
3,0.3,0.25,4,100,0.05,0.5,75.3677,2.7,1.5774999999999992
3,0.3,0.1,2,50,0.05,0.5,34.9836,1.7,0.5774999999999997
3,0.3,0.1,2,100,0.05,0.5,67.4447,2.2,1.0774999999999997
3,0.3,0.1,3,50,0.05,0.5,34.2737,1.5,0.37749999999999995
3,0.3,0.1,3,100,0.05,0.5,73.9667,1.3,0.17749999999999977
3,0.3,0.1,4,50,0.05,0.5,33.9337,1.7,0.5774999999999997
3,0.3,0.1,4,100,0.05,0.5,83.9426,0.8,0.3225
3,0.3,0.05,2,50,0.05,0.5,39.1137,1.1,0.022499999999999964
3,0.3,0.05,2,100,0.05,0.5,71.0919,2.1,0.9774999999999996
3,0.3,0.05,3,50,0.05,0.5,33.6445,2.3,1.1774999999999998
3,0.3,0.05,3,100,0.05,0.5,69.8647,1.7,0.5774999999999997
3,0.3,0.05,4,50,0.05,0.5,38.8737,2.5,1.3775
3,0.3,0.05,4,100,0.05,0.5,79.7176,2.2,1.0774999999999997
3,0.3,0.01,2,50,0.05,0.5,29.4727,1.4,0.27749999999999986
3,0.3,0.01,2,100,0.05,0.5,67.4657,1.3,0.17749999999999977
3,0.3,0.01,3,50,0.05,0.5,40.3297,1.5,0.37749999999999995
3,0.3,0.01,3,100,0.05,0.5,77.0757,1.8,0.6774999999999998
3,0.3,0.01,4,50,0.05,0.5,40.4057,1.1,0.022499999999999964
3,0.3,0.01,4,100,0.05,0.5,73.4517,2.3,1.1774999999999998
3,0.1,0.5,2,50,0.05,0.5,33.9847,0.8,0.3225
3,0.1,0.5,2,100,0.05,0.5,68.5707,2.8,1.6774999999999998
3,0.1,0.5,3,50,0.05,0.5,33.9907,1.3,0.17749999999999977
