N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
1000,0.2,50,0.0001,0.2,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
1000,0.2,100,0.1,0.292,-1.1662,0.10619999999999985,1.131,0.030999999999999917
1000,0.2,100,0.05,0.3067,-0.0352,1.0248000000000002,1.1094,0.009399999999999853
1000,0.2,100,0.01,0.3696,-0.0357,1.0243,-1.062,0.0020000000000000018
1000,0.2,100,0.0001,0.4304,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.2,150,0.1,0.4376,-1.0929,0.03289999999999993,1.1573,0.05729999999999991
1000,0.2,150,0.05,0.4543,1.103,0.0029999999999998916,-1.0703,0.010299999999999976
1000,0.2,150,0.01,0.6055,-0.0357,1.0243,-1.062,0.0020000000000000018
1000,0.2,150,0.0001,0.7296,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.2,200,0.1,0.5795,-1.0797,0.01970000000000005,-0.6516,0.4084000000000001
1000,0.2,200,0.05,0.6851,-0.0358,1.0242,1.1012,0.0011999999999998678
1000,0.2,200,0.01,0.8461,-0.0357,1.0243,-1.062,0.0020000000000000018
1000,0.2,200,0.0001,0.9701,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.25,50,0.1,0.1338,1.116,0.016000000000000014,-0.0437,1.0163
1000,0.25,50,0.05,0.1393,0.703,0.39700000000000013,-1.1142,0.054200000000000026
1000,0.25,50,0.01,0.171,1.0977,0.0023000000000001908,-0.0357,1.0243
1000,0.25,50,0.0001,0.2398,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.25,100,0.1,0.3407,-1.1068,0.04679999999999995,-0.6164,0.4436000000000001
1000,0.25,100,0.05,0.3024,-0.0338,1.0262,-1.1096,0.049599999999999866
1000,0.25,100,0.01,0.3831,-0.0357,1.0243,1.0977,0.0023000000000001908
1000,0.25,100,0.0001,0.4103,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.25,150,0.1,0.403,1.1376,0.037599999999999856,-1.1044,0.044399999999999995
1000,0.25,150,0.05,0.4991,-1.0672,0.007199999999999873,-0.0287,1.0313
1000,0.25,150,0.01,0.5234,-0.0357,1.0243,1.0977,0.0023000000000001908
1000,0.25,150,0.0001,0.638,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.25,200,0.1,0.5563,-1.0976,0.037599999999999856,-0.0473,1.0127000000000002
1000,0.25,200,0.05,0.6263,1.1067,0.006699999999999928,-1.0689,0.008899999999999908
1000,0.25,200,0.01,0.6944,-0.0357,1.0243,-1.0622,0.0021999999999999797
1000,0.25,200,0.0001,0.8369,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
1000,0.5,50,0.1,0.1571,-1.1597,0.0996999999999999,-0.0914,0.9686
1000,0.5,50,0.05,0.1686,1.1054,0.005399999999999849,-1.071,0.010999999999999899
1000,0.5,50,0.01,0.1622,-0.0357,1.0243,-1.0623,0.0022999999999999687
1000,0.5,50,0.0001,0.2531,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
1000,0.5,100,0.1,0.2977,-1.1418,0.08179999999999987,1.1139,0.013899999999999801
1000,0.5,100,0.05,0.3459,1.1178,0.017799999999999816,-1.0667,0.006699999999999928
1000,0.5,100,0.01,0.3569,-0.0357,1.0243,1.0978,0.0021999999999999797
