N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
1000,0.2,50,0.0001,0.2259,-1.0,0.0,1.0,0.0
1000,0.2,100,0.1,0.2949,0.0765,0.9235,-1.0738,0.07380000000000009
1000,0.2,100,0.05,0.3543,1.007,0.006999999999999895,-0.9618,0.03820000000000001
1000,0.2,100,0.01,0.3539,1.0002,0.00019999999999997797,-0.0,1.0
1000,0.2,100,0.0001,0.4379,-1.0,0.0,1.0,0.0
1000,0.2,150,0.1,0.4235,1.0213,0.021300000000000097,-1.0743,0.07430000000000003
1000,0.2,150,0.05,0.4762,1.0199,0.01990000000000003,-0.0003,0.9997
1000,0.2,150,0.01,0.585,-0.0,1.0,-1.0002,0.00019999999999997797
1000,0.2,150,0.0001,0.6657,-1.0,0.0,1.0,0.0
1000,0.2,200,0.1,0.5419,0.0289,0.9711,1.0232,0.02320000000000011
1000,0.2,200,0.05,0.6862,-1.0176,0.01760000000000006,0.0004,0.9996
1000,0.2,200,0.01,0.7339,-1.0003,0.00029999999999996696,1.0003,0.00029999999999996696
1000,0.2,200,0.0001,0.9024,1.0,0.0,-1.0,0.0
1000,0.25,50,0.1,0.1462,-1.0691,0.06909999999999994,-0.0126,0.9874
1000,0.25,50,0.05,0.1971,1.0073,0.007300000000000084,-1.016,0.016000000000000014
1000,0.25,50,0.01,0.1727,-1.0002,0.00019999999999997797,1.0012,0.0012000000000000899
1000,0.25,50,0.0001,0.186,1.0,0.0,-1.0,0.0
1000,0.25,100,0.1,0.2818,1.0248,0.024799999999999933,-1.0342,0.03420000000000001
1000,0.25,100,0.05,0.3257,-1.0076,0.007600000000000051,1.0291,0.029099999999999904
1000,0.25,100,0.01,0.3672,-0.0,1.0,1.0002,0.00019999999999997797
1000,0.25,100,0.0001,0.4018,-1.0,0.0,1.0,0.0
1000,0.25,150,0.1,0.4751,-1.0222,0.022199999999999998,1.0402,0.040200000000000014
1000,0.25,150,0.05,0.4833,1.0049,0.004899999999999904,-0.0047,0.9953
1000,0.25,150,0.01,0.5773,-1.0002,0.00019999999999997797,0.0,1.0
1000,0.25,150,0.0001,0.684,1.0,0.0,-1.0,0.0
1000,0.25,200,0.1,0.5634,1.0192,0.019200000000000106,-0.622,0.378
1000,0.25,200,0.05,0.5598,-0.0004,0.9996,-1.0162,0.016199999999999992
1000,0.25,200,0.01,0.6896,0.0,1.0,1.0003,0.00029999999999996696
1000,0.25,200,0.0001,0.8301,-1.0,0.0,1.0,0.0
1000,0.5,50,0.1,0.1236,0.0271,0.9729,1.0875,0.08749999999999991
1000,0.5,50,0.05,0.1491,-0.0067,0.9933,-1.0333,0.03330000000000011
1000,0.5,50,0.01,0.1658,0.0,1.0,-1.0002,0.00019999999999997797
1000,0.5,50,0.0001,0.2281,-1.0,0.0,1.0,0.0
1000,0.5,100,0.1,0.2822,-1.0227,0.022699999999999942,1.0774,0.07739999999999991
1000,0.5,100,0.05,0.3309,0.0076,0.9924,1.0067,0.006699999999999928
1000,0.5,100,0.01,0.4117,-1.0004,0.00039999999999995595,1.0002,0.00019999999999997797
1000,0.5,100,0.0001,0.4417,-1.0,0.0,1.0,0.0
1000,0.5,150,0.1,0.433,1.032,0.03200000000000003,-1.0918,0.0918000000000001
1000,0.5,150,0.05,0.4539,1.0042,0.0041999999999999815,0.0003,0.9997
1000,0.5,150,0.01,0.5141,-0.0,1.0,1.0002,0.00019999999999997797
1000,0.5,150,0.0001,0.6303,1.0,0.0,-1.0,0.0
1000,0.5,200,0.1,0.558,1.0213,0.021300000000000097,-1.0244,0.024399999999999977
1000,0.5,200,0.05,0.5703,1.0143,0.01429999999999998,-1.0188,0.018799999999999928
1000,0.5,200,0.01,0.682,0.0,1.0,1.0002,0.00019999999999997797
1000,0.5,200,0.0001,0.8971,1.0,0.0,-1.0,0.0
1000,1.0,50,0.1,0.1474,-1.0191,0.019099999999999895,1.0182,0.018199999999999994
1000,1.0,50,0.05,0.1411,1.007,0.006999999999999895,-1.0377,0.03770000000000007
1000,1.0,50,0.01,0.1694,-1.0006,0.0005999999999999339,-0.0,1.0
1000,1.0,50,0.0001,0.2058,-1.0,0.0,1.0,0.0
1000,1.0,100,0.1,0.3102,-1.0284,0.02839999999999998,-0.0024,0.9976
1000,1.0,100,0.05,0.3165,-1.0065,0.00649999999999995,1.0072,0.007200000000000095
1000,1.0,100,0.01,0.3608,1.0003,0.00029999999999996696,-1.0002,0.00019999999999997797
1000,1.0,100,0.0001,0.4212,-1.0,0.0,1.0,0.0
1000,1.0,150,0.1,0.4236,1.0826,0.0826,-1.0255,0.025500000000000078
1000,1.0,150,0.05,0.5333,-1.0049,0.004899999999999904,1.0123,0.012299999999999978
1000,1.0,150,0.01,0.5521,-1.0002,0.00019999999999997797,0.0,1.0
1000,1.0,150,0.0001,0.625,-1.0,0.0,1.0,0.0
1000,1.0,200,0.1,0.5404,1.1089,0.1089,-1.0331,0.03309999999999991
1000,1.0,200,0.05,0.6483,-1.0303,0.030299999999999994,1.0107,0.010699999999999932
1000,1.0,200,0.01,0.7024,-0.0,1.0,-1.0003,0.00029999999999996696
1000,1.0,200,0.0001,0.8527,1.0,0.0,-1.0,0.0
2000,0.1,50,0.1,0.1747,1.0212,0.021200000000000108,-1.0447,0.04469999999999996
2000,0.1,50,0.05,0.143,-1.0053,0.005300000000000082,1.0161,0.016100000000000003
2000,0.1,50,0.01,0.1957,1.0002,0.00019999999999997797,-1.0002,0.00019999999999997797
2000,0.1,50,0.0001,0.222,1.0,0.0,-1.0,0.0
2000,0.1,100,0.1,0.286,1.0572,0.05719999999999992,-1.0327,0.03269999999999995
2000,0.1,100,0.05,0.356,0.001,0.999,-1.04,0.040000000000000036
2000,0.1,100,0.01,0.3606,1.0002,0.00019999999999997797,-1.0005,0.0004999999999999449
2000,0.1,100,0.0001,0.4304,-1.0,0.0,-0.0,1.0
2000,0.1,150,0.1,0.4335,-1.0241,0.02410000000000001,1.0944,0.09440000000000004
2000,0.1,150,0.05,0.4073,0.0006,0.9994,1.0046,0.0045999999999999375
2000,0.1,150,0.01,0.566,-1.0002,0.00019999999999997797,1.0002,0.00019999999999997797
2000,0.1,150,0.0001,0.6823,-1.0,0.0,1.0,0.0
2000,0.1,200,0.1,0.5946,1.0907,0.0907,0.0052,0.9948
2000,0.1,200,0.05,0.6111,0.0003,0.9997,1.007,0.006999999999999895
2000,0.1,200,0.01,0.7369,-0.0,1.0,1.0002,0.00019999999999997797
2000,0.1,200,0.0001,0.8961,-1.0,0.0,1.0,0.0
2000,0.2,50,0.1,0.132,0.0028,0.9972,1.0829,0.08289999999999997
2000,0.2,50,0.05,0.1645,-1.0261,0.026100000000000012,1.0139,0.013900000000000023
2000,0.2,50,0.01,0.218,1.0008,0.0007999999999999119,-1.0009,0.0008999999999999009
2000,0.2,50,0.0001,0.23,-1.0,0.0,1.0,0.0
2000,0.2,100,0.1,0.2898,1.0249,0.024899999999999922,-1.0178,0.017800000000000038
